BJD,FCAL0,FCAL1,FCAL2,FCAL3,SUNELEV,AIRMASS,SKY,FLAG
57828.0331912,0.9993682979869064,0.9977435533381547,0.9977435533381547,0.9860426111986897,-8.2478,1.1461,5319.0,1.0
57828.0345319,0.9990621118570873,0.9974378649970657,0.9974378649970657,0.9857405077883975,-8.3393,1.1473,4837.0,1.0
57828.035872099994,0.9990553307166218,0.9974310948811861,0.9974310948811861,0.9857338170684048,-8.4301,1.1485,4401.0,1.0
57828.03720399999,0.9957374989213981,0.9941186571228411,0.9941186571228411,0.9824602256072084,-8.5194,1.1497,4013.0,1.0
57828.038528900004,0.9954202256172282,0.9938018996326152,0.9938018996326152,0.9821471828601674,-8.6075,1.1509,3664.0,1.0
57828.0398549,0.9966613290176478,0.9950409852823092,0.9950409852823092,0.9833717372513587,-8.6954,1.1521,3350.0,1.0
57828.041178600004,0.9970553988072706,0.995434414404439,0.995434414404439,0.9837605524710701,-8.7821,1.1534,3069.0,1.0
57828.042502699995,0.9966901596459413,0.9950697690385845,0.9950697690385845,0.9834001834488842,-8.8681,1.1547,2817.0,1.0
57828.04382590001,0.9984673450740942,0.9968440651690478,0.9968440651690478,0.9851536716910966,-8.9534,1.1559,2592.0,1.0
57828.04514939999,1.000039476933531,0.9984136411010746,0.9984136411010746,0.986704840571429,-9.0379,1.1572,2388.0,1.0
57828.04798530001,1.001861609650136,1.0002328114459627,1.0002328114459627,0.9885026767700065,-9.2169,1.16,2006.0,1.0
57828.049309899994,1.001257329390529,0.9996295136080714,0.9996295136080714,0.9879064540498351,-9.299,1.1613,1862.0,1.0
57828.0506352,1.0014070072963408,0.9997789481717873,0.9997789481717873,0.9880541361339905,-9.3808,1.1627,1727.0,1.0
57828.05196419999,0.9996666242850739,0.9980413946258834,0.9980413946258834,0.9863369595811895,-9.4615,1.164,1604.0,1.0
57828.053291100005,0.9989002704259323,0.9972762866831217,0.9972762866831217,0.9855808243686838,-9.5417,1.1654,1490.0,1.0
57828.054616299996,0.9982239030491032,0.9966010189252003,0.9966010189252003,0.984913475748839,-9.6212,1.1668,1388.0,1.0
57828.05593940001,0.9981116077789718,0.9964889062215354,0.9964889062215354,0.9848026778361887,-9.6991,1.1682,1295.0,1.0
57828.057266699994,0.9960692332007364,0.9944498520779921,0.9944498520779921,0.9827875365051844,-9.777,1.1696,1210.0,1.0
57828.05859330001,0.9976522471046658,0.996030292362792,0.996030292362792,0.9843494423276311,-9.8541,1.171,1132.0,1.0
57828.059918499996,0.9965414129609922,0.9949212641817791,0.9949212641817791,0.98325342016859,-9.93,1.1725,1060.0,1.0
57828.0627586,1.0006919560442706,0.9990650594297724,0.9990650594297724,0.9873486194539514,-10.0906,1.1756,919.0,1.0
57828.064085599995,1.0016981389271424,1.0000696064890366,1.0000696064890366,0.9883413857836107,-10.1639,1.1771,867.0,1.0
57828.0654143,1.000104780390778,0.9984788383898118,0.9984788383898118,0.9867692732651955,-10.2368,1.1786,817.0,1.0
57828.0667381,1.0021024871949706,1.0004732973789134,1.0004732973789134,0.9887403424271685,-10.3085,1.1801,769.0,1.0
57828.0680623,1.001762015786482,1.000133379499189,1.000133379499189,0.988404410901883,-10.3797,1.1816,726.0,1.0
57828.0693883,1.0011276345569327,0.9995000296286591,0.9995000296286591,0.9877784885814127,-10.4498,1.1831,686.0,1.0
57828.0707141,1.000646440157169,0.9990196175411097,0.9990196175411097,0.9873037104806938,-10.5189,1.1846,649.0,1.0
57828.072041,1.0005824818847397,0.998955763250227,0.998955763250227,0.9872406050349027,-10.5876,1.1862,614.0,1.0
57828.073370599996,0.9992538131073192,0.9976292545848392,0.9976292545848392,0.9859296528730769,-10.6554,1.1878,583.0,1.0
57828.074696200005,0.9989586943410119,0.9973346156142564,0.9973346156142564,0.9856384692528547,-10.7223,1.1894,575.0,1.0
57828.0775354,0.998897642956767,0.9972736634856212,0.9972736634856212,0.9855782319344814,-10.862,1.1928,496.0,1.0
57828.0788631,0.9983667223674918,0.9967436060519893,0.9967436060519893,0.9850543906987298,-10.9262,1.1944,467.0,1.0
57828.0801898,0.9975580098128074,0.9959362082792512,0.9959362082792512,0.9842564616061857,-10.9895,1.1961,458.0,1.0
57828.0815136,0.9981477290281171,0.9965249687457779,0.9965249687457779,0.9848383174406259,-11.0515,1.1977,441.0,1.0
57828.0828399,0.9998299086966529,0.998204413574295,0.998204413574295,0.9864980667404679,-11.1127,1.1994,410.0,1.0
57828.0841637,1.0004705736671244,0.9988440369698194,0.9988440369698194,0.9871301890137679,-11.1733,1.201,386.0,1.0
57828.085492900005,1.0010899446628363,0.999462401009724,0.999462401009724,0.987741301248509,-11.233,1.2027,368.0,1.0
57828.0868196,1.0017331255925628,1.0001045362741279,1.0001045362741279,0.9883759059329865,-11.2917,1.2044,353.0,1.0
57828.0881454,1.0009099214900736,0.9992826705135325,0.9992826705135325,0.9875636785245298,-11.3496,1.2061,338.0,1.0
57828.0894709,1.000782976398027,0.9991559318052178,0.9991559318052178,0.9874384261323008,-11.4062,1.2079,326.0,1.0
57828.092311,1.0022227453119616,1.0005933599836672,1.0005933599836672,0.9888589970092025,-11.5248,1.2116,296.0,1.0
57828.09363639999,1.0027531816441346,1.0011229339474879,1.0011229339474879,0.989382360444989,-11.5788,1.2134,290.0,1.0
57828.0949625,1.0007593558089383,0.9991323496178132,0.9991323496178132,0.9874151205027446,-11.6316,1.2151,278.0,1.0
57828.0962877,1.000291645943975,0.9986654001422899,0.9986654001422899,0.9869536471325558,-11.6835,1.2169,269.0,1.0
57828.09763169999,0.9997186854726332,0.9980933711738402,0.9980933711738402,0.986388326579149,-11.7352,1.2188,262.0,1.0
57828.0989646,0.99924164721297,0.9976171084694565,0.9976171084694565,0.985917649200101,-11.7857,1.2206,256.0,1.0
57828.10029069999,0.9986743206717658,0.9970507042716602,0.9970507042716602,0.9853578874533874,-11.8347,1.2224,249.0,1.0
57828.101615499996,0.9985282672138309,0.9969048882632969,0.9969048882632969,0.9852137814883225,-11.883,1.2242,242.0,1.0
57828.1029414,1.0011738775954944,0.9995461974865998,0.9995461974865998,0.9878241150102128,-11.9302,1.2261,236.0,1.0
57828.1042679,0.9994832114008195,0.9978582799290971,0.9978582799290971,0.9861559923445045,-11.9765,1.228,230.0,1.0
57828.107122099995,1.0015959489479724,0.9999675826474377,0.9999675826474377,0.9882405584168611,-12.0728,1.232,219.0,1.0
57828.108447599996,1.0014642771599997,0.9998361249277254,0.9998361249277254,0.9881106423549892,-12.1162,1.2339,217.0,1.0
57828.10977159999,0.9987600901012067,0.9971363342595939,0.9971363342595939,0.9854425132238238,-12.1583,1.2358,213.0,1.0
57828.11110090001,1.000507398525853,0.9988808019597364,0.9988808019597364,0.9871665228457804,-12.1996,1.2377,209.0,1.0
57828.1124271,1.0003107451401907,0.9986844682875736,0.9986844682875736,0.9869724916579888,-12.24,1.2397,206.0,1.0
57828.113764300004,1.001227467324042,0.9995997000904858,0.9995997000904858,0.9878769901674267,-12.2794,1.2416,200.0,1.0
57828.1150898,1.0011914756102007,0.9995637668909526,0.9995637668909526,0.9878414783710558,-12.3178,1.2436,195.0,1.0
57828.1164161,1.0013708527028338,0.9997428523573935,0.9997428523573935,0.9880184636298094,-12.355,1.2456,192.0,1.0
57828.117745300005,1.0023393518331076,1.0007097769292363,1.0007097769292363,0.9889740486861718,-12.3915,1.2476,191.0,1.0
57828.1190716,1.0010140625743613,0.9993866422881976,0.9993866422881976,0.9876664309801468,-12.4267,1.2496,187.0,1.0
57828.121914100004,1.0026119579428625,1.0009819398437056,1.0009819398437056,0.9892430198360801,-12.4989,1.2539,180.0,1.0
57828.1232436,1.0018867861300795,1.0002579469946988,1.0002579469946988,0.9885275175439976,-12.5313,1.2559,181.0,1.0
57828.1245678,0.9996284926409139,0.9980033249750698,0.9980033249750698,0.9862993363885665,-12.5623,1.258,178.0,1.0
57828.1258924,0.9987931661417239,0.9971693565260223,0.9971693565260223,0.9854751482247794,-12.5924,1.26,174.0,1.0
57828.12721599999,1.0000031225099364,0.9983773457814712,0.9983773457814712,0.9866689709017165,-12.6214,1.2621,172.0,1.0
57828.128541699996,1.0000945822449276,0.998468656823818,0.998468656823818,0.9867592111025432,-12.6495,1.2642,171.0,1.0
57828.129867799995,0.9990622078599865,0.997437960843886,0.997437960843886,0.9857406025111835,-12.6765,1.2662,168.0,1.0
57828.13119369999,1.0000716914939576,0.9984458032879818,0.9984458032879818,0.9867366255793638,-12.7026,1.2683,166.0,1.0
57828.13252000001,1.0006274675806928,0.9990006758097102,0.9990006758097102,0.9872849908866385,-12.7275,1.2705,166.0,1.0
57828.1338454,1.0001182250656973,0.9984922612067598,0.9984922612067598,0.9867825386673407,-12.7516,1.2726,167.0,1.0
57828.136694700006,1.003872345574531,1.0022402783728925,1.0022402783728925,0.9904866013204604,-12.7996,1.2772,160.0,1.0
57828.138019000005,1.0023038873195989,1.0006743700729284,1.0006743700729284,0.9889390570603863,-12.8203,1.2793,159.0,1.0
57828.1393593,1.003306671873869,1.0016755243284972,1.0016755243284972,0.9899284703751314,-12.8402,1.2815,158.0,1.0
57828.1406994,1.0019574725605773,1.0003285185052015,1.0003285185052015,0.9885972614338577,-12.8591,1.2837,158.0,1.0
57828.142023399996,1.0014733324003806,0.999845165446353,0.999845165446353,0.988119576851799,-12.8766,1.2859,157.0,1.0
57828.143363999996,1.0001404196920165,0.9985144197496847,0.9985144197496847,0.9868044373480717,-12.8934,1.2881,156.0,1.0
57828.1446888,0.9987300473353605,0.9971063403364249,0.9971063403364249,0.9854128710515213,-12.9089,1.2903,156.0,1.0
57828.146013800004,0.9990767160338225,0.9974524454307445,0.9974524454307445,0.985754917231434,-12.9234,1.2925,154.0,1.0
57828.1473409,0.9997610009848752,0.9981356178907216,0.9981356178907216,0.986430077851697,-12.9368,1.2948,152.0,1.0
57828.1486655,0.9993404708091936,0.9977157714010785,0.9977157714010785,0.9860151550716246,-12.9492,1.297,153.0,1.0
57828.151505999995,1.000453395006052,0.998826886237327,0.998826886237327,0.9871132394148514,-12.9722,1.3018,152.0,1.0
57828.1528306,1.0015159531738556,0.9998877169281827,0.9998877169281827,0.9881616293151935,-12.9813,1.3041,152.0,1.0
57828.154155,0.9990695163202499,0.997445257422262,0.997445257422262,0.9857478135196341,-12.9894,1.3063,151.0,1.0
57828.155480999994,1.000564562160301,0.9989378726591681,0.9989378726591681,0.9872229242540405,-12.9964,1.3087,152.0,1.0
57828.156809500004,1.00208355635141,1.0004543973125815,1.0004543973125815,0.9887216640095576,-13.0024,1.3109,153.0,1.0
57828.1581377,1.0025405728344419,1.0009106707911708,1.0009106707911708,0.9891725865845458,-13.0073,1.3132,154.0,1.0
57828.1594633,1.0010224535760404,0.9993950196480239,0.9993950196480239,0.9876747100952867,-13.0112,1.3156,154.0,1.0
57828.1607891,1.0007305800195403,0.9991036206112779,0.9991036206112779,0.9873867284128871,-13.014,1.3179,155.0,1.0
57828.162114900006,1.000390443340826,0.9987640369171338,0.9987640369171338,0.9870511271540523,-13.0158,1.3202,155.0,1.0
57828.1634423,0.9988291957338721,0.9972053275422811,0.9972053275422811,0.9855106973943839,-13.0165,1.3226,155.0,1.0
57828.166282599996,0.9985437570425909,0.9969203529091323,0.9969203529091323,0.9852290647740023,-13.0145,1.3276,157.0,1.0
57828.167610300006,0.9982430068704723,0.9966200916881179,0.9966200916881179,0.9849323248377531,-13.0119,1.33,158.0,1.0
57828.16893480001,0.9986045928228885,0.996981089784343,0.996981089784343,0.9852890893633154,-13.0083,1.3323,158.0,1.0
57828.170261800005,0.9978885941269658,0.996266255138803,0.996266255138803,0.9845826378727439,-13.0036,1.3347,159.0,1.0
57828.171589,0.9990044499972541,0.9973802968822497,0.9973802968822497,0.9856836147981445,-12.9979,1.3371,159.0,1.0
57828.1729156,0.9998962097322207,0.9982706068195186,0.9982706068195186,0.9865634837107363,-12.9911,1.3395,159.0,1.0
57828.17424269999,1.0001360602748652,0.9985100674199505,0.9985100674199505,0.9868001360598685,-12.9833,1.3419,161.0,1.0
57828.17557000001,1.0013415738803448,0.9997136211355843,0.9997136211355843,0.9879895752143593,-12.9744,1.3444,161.0,1.0
57828.1768954,1.002866850464626,1.0012364179684332,1.0012364179684332,0.9894945135929275,-12.9645,1.3468,161.0,1.0
57828.178221500006,1.0016922526790408,1.0000637298106303,1.0000637298106303,0.9883355780233885,-12.9535,1.3492,162.0,1.0
57828.181061899995,1.0029795332835951,1.0013489175908692,1.0013489175908692,0.9896056938867963,-12.9265,1.3544,161.0,1.0
57828.182389300004,1.0014024489241786,0.9997743972104973,0.9997743972104973,0.9880496385436641,-12.9123,1.3569,163.0,1.0
57828.1837132,0.9987183320137728,0.9970946440612749,0.9970946440612749,0.9854013119433201,-12.897,1.3594,164.0,1.0
57828.185038699994,0.9982336472527854,0.9966107472870321,0.9966107472870321,0.9849230900222374,-12.8807,1.3618,165.0,1.0
57828.1863628,0.9960525527373838,0.9944331987332639,0.9944331987332639,0.9827710784609643,-12.8634,1.3643,166.0,1.0
57828.187691,0.9966989134691391,0.9950785086300645,0.9950785086300645,0.9834088205476404,-12.845,1.3668,168.0,1.0
57828.18901540001,0.9955835950562087,0.993965003470193,0.993965003470193,0.9823083739130826,-12.8256,1.3693,169.0,1.0
